"OMs";"Name";"Description";"Origem";"Index"
"1";"OM1";"Reference";"OM WSKJ_EstRec93_Qnt25_h6";"SS3 Uncertainty Grid";"Inverse-Variance Weighting"
"2";"OM2";"Reference";"OM WSKJ_EstRec93_Qnt50_h6";"SS3 Uncertainty Grid";"Inverse-Variance Weighting"
"3";"OM3";"Reference";"OM WSKJ_EstRec93_Qnt75_h6";"SS3 Uncertainty Grid";"Inverse-Variance Weighting"
"4";"OM4";"Reference";"OM WSKJ_EstRec93_Qnt25_h7";"SS3 Uncertainty Grid";"Inverse-Variance Weighting"
"5";"OM5";"Reference";"OM WSKJ_EstRec93_Qnt50_h7";"SS3 Uncertainty Grid";"Inverse-Variance Weighting"
"6";"OM6";"Reference";"OM WSKJ_EstRec93_Qnt75_h7";"SS3 Uncertainty Grid";"Inverse-Variance Weighting"
"7";"OM7";"Reference";"OM WSKJ_EstRec93_Qnt25_h8";"SS3 Uncertainty Grid";"Inverse-Variance Weighting"
"8";"OM8";"Reference";"OM WSKJ_EstRec93_Qnt50_h8";"SS3 Uncertainty Grid";"Inverse-Variance Weighting"
"9";"OM9";"Reference";"OM WSKJ_EstRec93_Qnt75_h8";"SS3 Uncertainty Grid";"Inverse-Variance Weighting"
"10";"OM10";"Implementation Catch Error 10%";"OM WSKJ_EstRec93_Qnt25_h6_ImpErr_10%";"SS3 Uncertainty Grid + Robustness 01";"Inverse-Variance Weighting"
"11";"OM11";"Implementation Catch Error 10%";"OM WSKJ_EstRec93_Qnt50_h6_ImpErr_10%";"SS3 Uncertainty Grid + Robustness 01";"Inverse-Variance Weighting"
"12";"OM12";"Implementation Catch Error 10%";"OM WSKJ_EstRec93_Qnt75_h6_ImpErr_10%";"SS3 Uncertainty Grid + Robustness 01";"Inverse-Variance Weighting"
"13";"OM13";"Implementation Catch Error 10%";"OM WSKJ_EstRec93_Qnt25_h7_ImpErr_10%";"SS3 Uncertainty Grid + Robustness 01";"Inverse-Variance Weighting"
"14";"OM14";"Implementation Catch Error 10%";"OM WSKJ_EstRec93_Qnt50_h7_ImpErr_10%";"SS3 Uncertainty Grid + Robustness 01";"Inverse-Variance Weighting"
"15";"OM15";"Implementation Catch Error 10%";"OM WSKJ_EstRec93_Qnt75_h7_ImpErr_10%";"SS3 Uncertainty Grid + Robustness 01";"Inverse-Variance Weighting"
"16";"OM16";"Implementation Catch Error 10%";"OM WSKJ_EstRec93_Qnt25_h8_ImpErr_10%";"SS3 Uncertainty Grid + Robustness 01";"Inverse-Variance Weighting"
"17";"OM17";"Implementation Catch Error 10%";"OM WSKJ_EstRec93_Qnt50_h8_ImpErr_10%";"SS3 Uncertainty Grid + Robustness 01";"Inverse-Variance Weighting"
"18";"OM18";"Implementation Catch Error 10%";"OM WSKJ_EstRec93_Qnt75_h8_ImpErr_10%";"SS3 Uncertainty Grid + Robustness 01";"Inverse-Variance Weighting"
"19";"OM19";"Implementation Catch Error 20%";"OM WSKJ_EstRec93_Qnt25_h6_ImpErr_20%";"SS3 Uncertainty Grid + Robustness 02";"Inverse-Variance Weighting"
"20";"OM20";"Implementation Catch Error 20%";"OM WSKJ_EstRec93_Qnt50_h6_ImpErr_20%";"SS3 Uncertainty Grid + Robustness 02";"Inverse-Variance Weighting"
"21";"OM21";"Implementation Catch Error 20%";"OM WSKJ_EstRec93_Qnt75_h6_ImpErr_20%";"SS3 Uncertainty Grid + Robustness 02";"Inverse-Variance Weighting"
"22";"OM22";"Implementation Catch Error 20%";"OM WSKJ_EstRec93_Qnt25_h7_ImpErr_20%";"SS3 Uncertainty Grid + Robustness 02";"Inverse-Variance Weighting"
"23";"OM23";"Implementation Catch Error 20%";"OM WSKJ_EstRec93_Qnt50_h7_ImpErr_20%";"SS3 Uncertainty Grid + Robustness 02";"Inverse-Variance Weighting"
"24";"OM24";"Implementation Catch Error 20%";"OM WSKJ_EstRec93_Qnt75_h7_ImpErr_20%";"SS3 Uncertainty Grid + Robustness 02";"Inverse-Variance Weighting"
"25";"OM25";"Implementation Catch Error 20%";"OM WSKJ_EstRec93_Qnt25_h8_ImpErr_20%";"SS3 Uncertainty Grid + Robustness 02";"Inverse-Variance Weighting"
"26";"OM26";"Implementation Catch Error 20%";"OM WSKJ_EstRec93_Qnt50_h8_ImpErr_20%";"SS3 Uncertainty Grid + Robustness 02";"Inverse-Variance Weighting"
"27";"OM27";"Implementation Catch Error 20%";"OM WSKJ_EstRec93_Qnt75_h8_ImpErr_20%";"SS3 Uncertainty Grid + Robustness 02";"Inverse-Variance Weighting"
